ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
55953038,NO,,STELLANTIS,FIAT GROUP,FCA ITALY SPA,,E3*2007/46*0508*08,MP,JHPFP,NN1BAH1,JEEP,COMPASS,M1G,M1G,1,1935.0,,45.0,47.0,2636.0,1547.0,1542.0,PETROL/ELECTRIC,P,1332.0,132.0,,,,,,,P,2021,2021-05-03,1.9,46.0
53437987,PL,IP-PQ26ZZZ_A0_0523-TMB-1,VW-SAIC,SKODA,SKODA AUTO AS,,E8*2007/46*0319*12,5J,ABDKLDX01,NFM5FM5DF0024BIN1B7A,SKODA,FABIA,M1,M1,1,1116.0,1229.0,,121.0,2455.0,1441.0,1435.0,PETROL,M,999.0,70.0,,e8 29,,1.1,,,P,2021,2021-06-17,4.5,
51140211,DE,IP-MQB37AS_A2_0813-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E1*2001/116*0450*55,5N,ACDPCAX0,FD7FD7GC008L5N5NVR24BI1ASA0M1IS,"VOLKSWAGEN, VW",TIGUAN,M1,M1,1,1602.0,1836.0,,168.0,2787.0,1564.0,1575.0,PETROL,M,1498.0,110.0,,E1 29,,1.1,,,P,2021,2021-05-07,7.4,
54162757,FR,IP-JFA1MTGJT4A_000-UU1-0,RENAULT-NISSAN-MITSUBISHI,DACIA,AUTOMOBILE DACIA SA,,E19*2007/46*0026*04,DJF,BES,MT6UA37M5200,DACIA,SANDERO,M1,M1,1,1205.0,1292.0,,109.0,2604.0,1526.0,1520.0,LPG,B,999.0,74.0,,e9 37,,0.8,,,P,2021,2021-06-21,7.1,
45067444,RO,IP-JFA1MTGJT4A_000-UU1-0,RENAULT-NISSAN-MITSUBISHI,DACIA,AUTOMOBILE DACIA SA,,E19*2007/46*0026*04,DJF,LES,MT6UA37M5200,DACIA,LOGAN,M1,M1,1,1221.0,1311.0,,120.0,2649.0,1526.0,1520.0,LPG,B,999.0,67.0,,e9 37,,0.8,,,P,2021,,,
50910483,DE,IP-MQB37AS_A0_0822-TMB-1,VW-SAIC,SKODA,SKODA AUTO AS,,E8*2007/46*0249*21,NS,ACDTUAX1,NAD7AD7GC0104BI0GS5N1B8A,SKODA,KODIAQ,M1G,M1G,1,1746.0,1911.0,,173.0,2788.0,1566.0,1576.0,DIESEL,M,1968.0,147.0,,E8 28,,0.7,,,P,2021,2021-05-27,6.6,
57465584,NL,IP-B479_2019_00003-WF0-1,FORD,FORD WERKE GMBH,FORD WERKE GMBH,,E9*2007/46*3142*18,JHH,M0JB1JX,5CDPMNAPJBZ,FORD,FIESTA,M1,M1,1,1164.0,1291.0,,120.0,2490.0,1510.0,1480.0,PETROL,M,999.0,70.0,,e9  28 29,,2.2,,,P,2021,,,
54560989,FR,IP-5GF____ATN83549-VF3-0,STELLANTIS,AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,,E2*2007/46*0534*15,M,4,5GFU-C1PE00,PEUGEOT,3008,M1,M1,1,1504.0,1623.0,,157.0,2675.0,1601.0,1610.0,PETROL,M,1598.0,133.0,,,,,,,P,2021,2021-03-15,,
45350672,SE,IP-MQB27ZZ_A0_0534-VSS-1,VW-SAIC,SEAT,SEAT SA,,E9*2007/46*3134*28,KJ,BDLAA,FD7SFD7CW0054BI1A1AAC,SEAT,IBIZA,M1,M1,1,1163.0,1267.0,,126.0,2548.0,1499.0,1479.0,PETROL,M,999.0,81.0,,e9 29,,1.1,,,P,2021,,,
53464387,PL,IP-MQB27SZ_A0_0539-TMB-1,VW-SAIC,SKODA,SKODA AUTO AS,,E8*2007/46*0349*10,NW,ABCDLAAX0,NFM6FM6AJ0214BISTNK4N1A1A,SKODA,KAMIQ,M1,M1,1,1237.0,1368.0,,124.0,2639.0,1521.0,1506.0,PETROL,M,999.0,81.0,,e8  28 29,,1.9,,,P,2021,2021-04-09,4.4,
51933409,DE,IP-0000661-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*1679*11,FMCA,21DL,IHW40000,MINI,COOPER,M1,M1,1,1325.0,1397.0,,135.0,2495.0,1501.0,1501.0,PETROL,M,1499.0,100.0,,E24 28 29,,2.1,,,P,2021,2021-11-26,6.0,
